# Community catalog for Cursors: cursor sets on rw-designer.com, most downloaded first.
# Generated by tools/update-catalog.ps1 on 2026-09-15 from 11552 sets. It lists names and links only;
# the app downloads a set from rw-designer.com when it is clicked. Each set is licensed by its author, as shown on its page.
slug	name	author	downloads	license	cursors	roles	animated	toprated	arrow	link	text	busy
taylor-the-hedgehog	Taylor the Hedgehog	vlastic	4152	Attribution Required (CC by)	8	8	3	0	864	868		867
pokemon-pikachu-to-kyogre	pokemon pikachu to kyogre	coldrock	4151	Release to Public Domain	4	0	0	0	20826			
among-us-animated	Among Us Animated	floofyneko69	4145	Release to Public Domain	17	17	17	1	149860	149890	149866	149863
sansset	Sans	JustCursorThings	4141	Release to Public Domain	3	2	3	0	79855	79857		
kleemd	Klee	ツ☪ NaLexnu ♡♥	4140	Attribution+NonCommercial (CC by-nc)	45	17	19	1	177451	177443	177463	177429
highlightmd	Highlight	ツ☪ NaLexnu ♡♥	4136	Attribution+NonCommercial (CC by-nc)	11	0	1	1	166574			
pastel-girl	Pastel Girl	Ceemo	4130	Release to Public Domain	15	15	14	1	125326	125324	125327	125318
folder	Tiny Christmas	Pointer Adic	4128	Release to Public Domain	17	11	3	1	33273		33285	33277
cakecursorsmd	Cake	ツ☪ NaLexnu ♡♥	4127	Attribution+NonCommercial (CC by-nc)	21	17	6	1	167731	167729	167733	167722
neon-pack	Neon pack!	xXLucas cursorsXx	4123	Release to Public Domain	12	2	2	0	165370			
cupcake-tortita-mimidestino	Cupcake's (Tortita's)	ツ☪ NaLexnu ♡♥	4121	Attribution+NonCommercial (CC by-nc)	17	17	1	1	67592	67589	67595	67708
runescape-people	Dabomb's Requested (People)	Dabomb10100	4120	Attribution Required (CC by)	29	3	0	0	7668	7669		7668
pokemon-snivy-collection	Pokemon Snivy Collection	Folfie	4116	Release to Public Domain	15	15	4	1	61411	61417	61422	61413
lovely-sunshine	Lovely Sunshine	LegionEagles22	4098	Release to Public Domain	17	17	16	1	212029	212043	212034	212032
purplecode	Purple Code	ZeloZelos	4095	Release to Public Domain	14	13	13	1	42950	160261	43094	
gta-action-cur	GTA	♠♣♥♦Liyan Graphicsツ	4092	Release to Public Domain	15	15	2	1	161843	161858	161849	161847
minecraft-28	Minecraft	Sqool	4089	Release to Public Domain	11	7	3	0	228187	228188	228185	
minecraft-mix-up	Minecraft mix up	Th3amazingworlds	4086	Release to Public Domain	3	3	3	0	59986			
mymelodysparklemd	My Melody R With Sparkle	ツ☪ NaLexnu ♡♥	4086	Attribution+NonCommercial (CC by-nc)	18	17	18	1	164550	164547	164553	164541
oxide-remixed	Oxide ⚫	AJaxx	4086	Custom (contact author)	21	15	17	1	86015	86012	86021	86005
rainbow-glow	Rainbow Glow	Pointer Adic	4085	Release to Public Domain	15	15	15	1	33224	33238	33229	33227
rosario-vampire	Rosario Vampire	Draex	4085	Release to Public Domain	11	11	9	0	81542	81546	81549	81551
ruby-chroma	Ruby Chroma	♣Aworld♣	4085	Release to Public Domain	16	16	15	1	179605	179602	179608	179590
pacman	Pacman & Blinky	Applefan	4077	Release to Public Domain	6	4	3	0	15560			15562
saiki-k	Saiki K	PandieBonf	4069	Custom (contact author)	17	16	17	1	235305	235306	235312	235307
emerald-chroma	Emerald Chroma	♣Aworld♣	4067	Release to Public Domain	17	17	16	1	169841	169833	169837	169827
mouse	Mouse	Saskboy87	4065	Release to Public Domain	15	15	2	0	53172	53186	53177	53175
maxxyabmd	Maxx Yellow and Black MD	ツ☪ NaLexnu ♡♥	4064	Attribution+NonCommercial (CC by-nc)	20	17	14	1	176403	176400	176406	176390
random-halloween	Random Halloween	Censor_Not	4059	Release to Public Domain	34	15	4	1	102987	102985	102993	102982
sweetasacake	Sweet As a Cake	ツ☪ NaLexnu ♡♥	4058	Release to Public Domain	18	15	3	1	107979	107973	107981	107966
batmurcielagomd	Bat Murcielago	ツ☪ NaLexnu ♡♥	4054	Attribution+NonCommercial (CC by-nc)	20	17	10	1	168353	168350	168357	168344
peach-pink	Peach Pink	Orisnismy88	4052	Release to Public Domain	15	15	3	0	131241	131238	131244	131242
blueflame	BlueFlame	tsheej	4049	Release to Public Domain	15	15	15	1	68051	68049	68053	68043
scope-cursor-set	Scope Cursors	Tom	4049	Release to Public Domain	15	15	2	0	12778	12786	12790	12780
luxus	Luxus	Bobcat	4047	Release to Public Domain	17	17	2	1	152483	152498	152488	152486
artifacts-201z	ARTIFACTS 201Z	highmystica	4044	Release to Public Domain	32	15	16	1	99583	99597	99588	99586
frost	Frost	★⭐Mazin Pro⭐★	4042	Release to Public Domain	15	15	2	1	173486	173527	173517	173515
gnome	Gnome	Anonymous	4041	Attribution Required (CC by)	9	8	3	0	19434	19412	19418	19416
terraria-2	Terraria	dsaf	4041	Release to Public Domain	15	15	0	1	122942	122950	122947	122944
mass-effect	Mass Effect	Sirea	4040	Attribution Required (CC by)	15	15	10	1	34652	34667	34657	34655
kawaiippillmdc	Kawaii Pink Pill	ツ☪ NaLexnu ♡♥	4037	Custom (contact author)	19	17	4	1	190697	190694	190702	190688
bluebutterfly	Blue Butterfly	heptadecaphobia	4033	NonCommercial Usage Only (CC nc)	17	16	17	1	191557	191571	191562	
pokemon-1	Pokemon	Nightcore7	4032	Release to Public Domain	3	3	2	0	27134	27136		27135
nowy-wojskowy-arsena-new-	Nowy wojskowy arsenał / New military arsenal	PolskiByk	4030	Release to Public Domain	17	17	9	1	135664	135678	135669	135667
nutty-squirrels	Squirrels	Callmezippy	4029	Attribution Required (CC by)	15	15	14	1	3758	3765	3768	3755
rw-designer	rw-designer	idrakiajda	4028	Release to Public Domain	3	0	2	1	25617			
pointer-normal-select	Normal Select Pointers i Universal (Right-handed)	cimofj2	4027	Attribution Required (CC by)	6	2	0	1	11981			
blue-animated-complete-set	Forward	DubDip	4024	Attribution Required (CC by)	15	15	10	1	9917	9930	9922	9920
fire-r	FIRE VIOLET	bouderbabari	4019	Release to Public Domain	15	15	15	0	20946	20960	20951	20949
splatoon	Splatoon	Keebo	4018	Release to Public Domain	7	0	0	0	113606			
runescape-cursors-by-soren	Cool Runescape Clicker Blocker And Text Selecter	soren	4016	Release to Public Domain	3	3	0	0	13474		13479	
6-b-colors	All Six-Bit Colors	ortho	4011	Release to Public Domain	67	0	1	0	40043			
golimegreen	Lime Green	Chris Kid	4010	Attribution Required (CC by)	16	13	1	0	10017	22111	10018	9268
windows-bubble	Windows Bubble	absterninja	4009	Release to Public Domain	8	1	1	1	24321			
trump	Trump	Censor_Not	4008	Release to Public Domain	20	15	4	1	100154	100152	100160	100149
sniper-rifle-scope	Sniper Rifle Scope	Shad-0	4005	Attribution+NonCommercial (CC by-nc)	9	7	9	0	52205	52207	52210	52206
valentine-heart	Valentine red Heart	Nikdo	4000	Release to Public Domain	17	17	6	1	150042	150053	150054	150052
twilightsparklecursorset-sullind	Twilight Sparkle	Sullindir	3999	Attribution+NonCommercial (CC by-nc)	15	15	15	1	60923	60935	60926	60922
cute-aesthetic-purple	Cute Aesthetic Purple	~ ☁ Aesthetic girl ☁ ~	3995	Release to Public Domain	19	17	6	0	176028	176056	176052	176051
galaxy-among-us	GALAXY AMONG US	rando	3994	Release to Public Domain	3	2	1	1	147986	148038		147986
pink-kawaii-donut	Pink Kawaii Donut	Orisnismy88	3994	Attribution+NonCommercial (CC by-nc)	15	15	3	0	126520	126517	126523	126521
ultimate-windows-beveled-1	Ultimate Windows Beveled (Shadowed)	nibbler	3994	Attribution+NonCommercial (CC by-nc)	48	15	27	1	95484	95514	95494	95491
highlight-lime-green-10	Highlight Lime Green 10	RIDDLER	3991	Custom (contact author)	17	17	2	1	158705	158719	158710	158708
age-of-empires-ii	Age of Empires II	Fornacott	3990	Release to Public Domain	22	14	0	1	116469	116481	116472	116478
froggies	Froggie	dingdongdie	3988	Attribution+NonCommercial (CC by-nc)	17	17	17	1	146926	146940	146931	146929
bob-lennon-v64	Bob Lennon	Virum64	3985	Release to Public Domain	15	15	10	1	55824	55822	55826	55816
ridged-red	Ridged Red (and Orange) V1	ClairvoyantOS	3985	Attribution Required (CC by)	8	8	2	1	150610		150615	150611
rainbow-jewel	Rainbow Jewel	quackyduck	3983	Release to Public Domain	18	15	18	1	114964	115123	115127	115117
arrow-2	Arrow	Nightfury	3982	Release to Public Domain	15	15	4	1	160563	160573	160576	160566
jet-fighters	Jet fighters	belkit	3982	Release to Public Domain	5	0	0	1	90785			
mlg-hitmarkers	MlgHitMarkers	0Emerald0	3978	Release to Public Domain	15	15	15	1	87773	87787	87778	87776
cross-2	Cross	nibbler	3974	Attribution+NonCommercial (CC by-nc)	15	15	15	1	94130	94144	94135	94133
supernatural-1	Supernatural	Miss Mycroft	3972	Release to Public Domain	6	1	0	0	62169			
red-triangles	Red Triangles	Mckeegan1	3969	Attribution Required (CC by)	15	15	2	0	11276	11283	11286	11277
megaman-cursors	Mega-Man	oriolego	3967	Release to Public Domain	14	14	12	1	49935	49948	49940	49938
google-operating-system	Google Chromium	sixλxis	3966	Release to Public Domain	8	8	0	1	18849	18847	18850	
windows-logo	Windows Logo	ETHANWEEGEE	3966	Release to Public Domain	19	15	4	1	79312	79310	79314	79304
highlight-teal-10	Highlight Teal 10	RIDDLER	3965	Custom (contact author)	17	17	2	1	158601	158615	158606	158604
sweet-as-cake	Sweet As Cake	Mobius	3963	Release to Public Domain	17	14	3	1	107908	107914	108021	107910
penguin-mimidestino	Penguin Boy	ツ☪ NaLexnu ♡♥	3955	Attribution+NonCommercial (CC by-nc)	15	15	3	1	94055	94050	94058	94038
bady	Bady colors	bouderbabari	3954	Release to Public Domain	3	0	3	0	21801			
legendofzelda-alttp-link	LegendOfZelda ALTTP-Link	Dervilacus	3953	Release to Public Domain	15	15	15	1	57888	57902	57893	57891
mega-man-x	Mega Man X	000	3952	Release to Public Domain	15	15	9	1	171374	171388	171379	171377
coconut	Coconut Nekopara	LisSweetie	3948	Attribution Required (CC by)	19	15	4	1	145298	145304	127914	145256
penguingirl-mimidestino	Penguin Girl	ツ☪ NaLexnu ♡♥	3945	Attribution+NonCommercial (CC by-nc)	15	15	3	1	94054	94051	94059	94039
ssbm	SSBM	keydmer	3943	Attribution Required (CC by)	13	0	13	0	801			
my-cursors-my-coursors-cool	My	Club559	3942	Attribution Required (CC by)	12	5	2	0	5141	5147		5143
blupoint	BluPoint	FrogCursors	3939	Attribution Required (CC by)	19	14	3	1	6148	6150	6154	6130
bunny-pinky	Bunny	kattynom	3935	Release to Public Domain	17	12	17	0	246670	246672	246662	
techno-1	Techno	Axolotlsarecute	3932	Release to Public Domain	17	17	17	1	157876	157880	157882	157879
cat-bb	BB Cat	veveo007	3927	Release to Public Domain	17	11	17	1	113934	113928	113937	113925
soyjak-wojak	Soyjak/Wojak	the_real_yakub	3926	Release to Public Domain	4	3	3	1	214421	214423	214422	
spiderman-deadpool	Spideypool	adrenochromedream	3926	Custom (contact author)	93	15	59	1	112443	112479	112517	112468
basic-rainbow	Basic Rainbow	⎛⎝ donlon ⎠⎞	3924	Release to Public Domain	17	17	17	1	157691	157721	157693	157719
star-1	Star	EdibleInk	3913	Release to Public Domain	14	14	2	1	183753	183748	183752	183746
pizza-5	Pizza	nibbler	3910	Free Art (copyleft)	15	15	13	1	125774	125788	125779	125777
mewtwo-pokemon-purple-game	The Mewtwo Collection!	Folfie	3904	Release to Public Domain	9	1	7	0	66273			
star-trek-insignia	Star Trek Insignia	Chaos	3904	Release to Public Domain	10	6	3	1	54502	54508		54511
blaze-blue	Blaze - Blue	AJaxx	3899	Custom (contact author)	20	15	15	1	89217	89214	89221	89207
alphabet	Alphabet	Daniel W.	3898	Attribution Required (CC by)	26	0	0	1	8689			
lazitorosamdbowtie	Lazito Rosa (Bow)	ツ☪ NaLexnu ♡♥	3898	Attribution+NonCommercial (CC by-nc)	16	15	1	1	166187	166185	166190	166179
ubuntu24defaultblack	Linux Ubuntu 24 Default	Anarky	3897	Custom (contact author)	8	8	0	0	181907	181908	181910	181912
predator-zaqovt	Predator	zaqovt	3896	Custom (contact author)	3	1	2	0	18067		18067	
looping-plasma-pointers	Looping Plasma Pointers	Flycat	3889	Release to Public Domain	6	0	6	1	226707			
murder-drones-n	Murder Drones N	CasualSpaceMan	3889	Release to Public Domain	15	15	15	1	202195	202204	202206	202196
mario-paint-cursors-by-mario-nin	Mario Paint™	MaxiGamer™	3885	Release to Public Domain	12	7	2	0	25801	25803		
sega-game	Knuckles the Ecidna	HusenPo	3884	Release to Public Domain	16	15	16	1	55375	55363	55368	55356
original-b-w-custom-altalignment	Windows 10 black and white replacements (Alternative Alignments)	Felix1231	3880	Release to Public Domain	3	3	0	1	115445	115445		
red-fire-electricity	Red Fire/Electricity	Peltlas	3880	Release to Public Domain	3	3	3	0	185315	185316		185318
aero-pantone-2016-1	Aero Pantone 2016 Rose Quartz Serenity x48	4qts	3879	Release to Public Domain	17	17	2	1	134415	134419	134428	134416
black-and-white-1	Black and white	F_R19	3874	Release to Public Domain	13	12	4	0	171423		171435	171424
imperial-sword-lightcm	Imperial Sword	LightCM	3871	Release to Public Domain	17	17	5	1	111961	111958	111964	112304
raimbow	1	juanviruelaariA	3859	Release to Public Domain	3	2	0	1	102698			
thanksgiving	Thanksgiving	rnottelovesowls	3855	Release to Public Domain	15	15	3	1	80934	80948	80939	80937
bluelectric	Bluelectric	oriolego	3853	Release to Public Domain	15	15	15	1	48042	48056	48047	48045
homura-akemi	Homura Akemi	PandieBonf	3853	Custom (contact author)	17	17	17	1	234799	234800	234805	234801
star-wars-7	Star Wars Ultimate	adrenochromedream	3853	Custom (contact author)	96	15	57	0	107933	108113	108066	108124
chrisy-plain-black	Plain Black	chrisyco	3848	Attribution Required (CC by)	15	15	0	0	111	114	121	123
adventure-time-4	Jake The Dog	moot	3846	Release to Public Domain	15	15	15	1	180068	180066	180070	180060
transformers	Transformers	AlienGlow001	3846	Release to Public Domain	3	0	1	0	22876			
windows-7-black-aero	Windows 7 Black Aero	WindowsUser	3843	Release to Public Domain	15	15	2	1	180572	180586	180577	180575
nbx-xv	NB	bouderbabari	3842	Release to Public Domain	15	15	2	1	21917	21931	21922	21920
se7en-2-cursors	Se7en II	JDDellGuy	3840	Release to Public Domain	15	15	11	1	19839	19837	19841	19847
dim-technoblue-premium	Dim Technoblue Premium	Yuri	3836	Release to Public Domain	17	17	17	0	156558	156572	156563	156561
greenglow	GreenGlow	♣Aworld♣	3836	Release to Public Domain	17	17	16	1	167489	167486	167493	167480
kawaiinutellamimidestino	Kawaii Cute Sweet Nutella	ツ☪ NaLexnu ♡♥	3834	Attribution+NonCommercial (CC by-nc)	15	15	4	1	94800	94798	94802	94792
minecraft-26	Minecraft	Lego	3833	Release to Public Domain	15	15	3	0	189790	253024	253059	253062
embossed-gray-scale	Embossed Gray Scale	oneloneman	3826	Attribution Required (CC by)	6	6	3	1	7928	7933		7931
series-2-cool	series 2 cool	The Male Boss	3826	Custom (contact author)	5	1	0	1	70089			
minecraft-steve-made-by-yoon-011	Minecraft Steve	Yoon_0117	3821	Release to Public Domain	17	17	2	1	139835	141812	141817	141806
csgo-white	CSGO White	BeyHota	3819	Release to Public Domain	15	14	2	0	83311	83307	83312	83302
mario-mushroom-v64	Super Mario Mushroom	Virum64	3819	Release to Public Domain	15	15	6	1	35536	35553	35543	35539
oxygen-pack	White Pack	juanello	3818	Release to Public Domain	18	15	5	1	35347	35348	35360	35349
cool-glitter-with-colors	Cool glitter (with colors)	DJman981	3811	Release to Public Domain	7	1	7	0	26607			
cursed-emoji	cursed emoji	pizzalover2000	3809	NonCommercial Usage Only (CC nc)	15	15	10	1	172187	172198	172188	172189
kawaiibrdmd	Kawaii Black and Red Donuts	ツ☪ NaLexnu ♡♥	3808	Attribution+NonCommercial (CC by-nc)	17	17	3	1	175629	175626	175632	175630
water-drops-hd	Water Drops HD	Ludwig	3804	Release to Public Domain	28	12	28	1	122842	122852		122845
sonic-mania	Sonic Mania	PkN0PE	3803	Release to Public Domain	47	0	44	0	129146			
d2fullset	Destiny 2 complete	HellendenGamer	3799	Release to Public Domain	15	15	14	1	150803	150804	150808	150802
runescaperocks	parth	parth	3798	Release to Public Domain	8	0	0	0	27169			
kawaiipastelheartnalexnu	Kawaii Pastel Heart with Glitter	ツ☪ NaLexnu ♡♥	3797	Custom (contact author)	25	17	25	1	207169	207180	207176	207175
nero	Nero	Kimi	3797	Release to Public Domain	17	16	17	1	156360	156354	156364	156351
highlight-indigo-10	Highlight Indigo 10	RIDDLER	3795	Custom (contact author)	17	17	2	1	158686	158700	158691	158689
mb-blue-lightcm	MB blue	LightCM	3795	Release to Public Domain	17	17	3	1	122550	122553	122547	122559
black-shiny	Black Shiny	Matias0211	3794	Release to Public Domain	15	15	2	1	36687	36688	37135	36667
color-v2	Color V2	nibbler	3788	Attribution+NonCommercial (CC by-nc)	120	15	16	1	93074	93173	93109	93324
vinylscratchcursorset-sullindir	Vinyl Scratch	Sullindir	3785	Attribution+NonCommercial (CC by-nc)	15	15	15	1	61017	61028	61022	61020
bob-ross-collection	Bob Ross collection	CheffboyRD	3780	Release to Public Domain	9	4	1	1	102155			
pokemon-oras	Pokemon OR/AS	CreamFireball	3773	NonCommercial Usage Only (CC nc)	50	1	0	1	81423			
among-us-black-with-rover-pet	Black Among Us W/ Rover Pet & Ski Goggles	tHEmEEPYjIB	3771	Release to Public Domain	17	16	17	1	145478	145494	145483	145477
red	My Anarchy	DubDip	3768	Attribution Required (CC by)	15	15	11	0	9758	9772	9763	9761
blood-halowine	red fire/blood	ender dragon	3767	Release to Public Domain	15	15	15	0	76923	76921	76925	76915
computeraccessories	Computer Accessories	Daniel W.	3766	Attribution Required (CC by)	11	8	4	1	6505			
blue-purple-pink-wave	blue, purple, pink wave	TrainGamerRB	3765	Release to Public Domain	11	11	0	0	143109	143114	143117	
inferno	Inferno	Vojife	3765	Release to Public Domain	13	8	2	1	35251	35242		35240
silver-indicators-3d	Silver Indicators 3D	RIDDLER	3765	Custom (contact author)	15	15	13	1	159064	159078	159069	159067
soda	Soda	Censor_Not	3761	Release to Public Domain	12	1	0	1	98339			
upgradedtoolscursors	Upgraded Tools - Minecraft	Cody	3761	Release to Public Domain	13	12	3	0	29616	29614	29607	29617
green-aero	Green (Aero)	Abbas	3760	Release to Public Domain	15	15	2	1	73284	73282	73286	73276
red-star	Red Star ⚪	AJaxx	3758	Custom (contact author)	24	15	21	1	101331	101327	101335	101318
modified-arrows	Blue Wedgie	oneloneman	3756	Attribution Required (CC by)	6	6	3	1	7638	7640		7642
lemonyellow	Lemon Yellow	Daniel W.	3755	Attribution Required (CC by)	15	15	3	1	10530	23954	23952	10533
meta-knight-kirby-characters	Meta knight (Kirby characters)	ViniciusGamer-blox	3752	Release to Public Domain	15	15	14	1	210345	210359	210350	210348
new-eletric-pack-uptaded	NEW!⚡ELETRIC PACK⚡UPTADED!	xXLucas cursorsXx	3748	Release to Public Domain	17	3	15	0	165311		165317	
gradient-bubbles	Gradient Bubbles	MinecraftGirl1227	3746	Release to Public Domain	15	15	0	0	84137	84135	84139	84129
paper-mario-64	Paper Mario 64	MediocreCursorMaker	3746	Release to Public Domain	17	15	0	0	135021	135029	135034	135023
chrome-os-blue	Chrome-OS Blue	TheGreat.	3741	Release to Public Domain	14	10	0	1	173346	173338	173350	
logos-keyblade	Kingdom Hearts Keyblades And Logos	Neo	3739	Attribution Required (CC by)	3	1	0	1	5077			
gt3	GT3 ⚫	AJaxx	3738	Custom (contact author)	19	15	17	1	89342	89340	89346	89332
dim-nitrogreen-premium	Dim NitroGreen Premium	Yuri	3736	Release to Public Domain	17	17	17	1	157294	157308	157299	157297
runescape-skilling-items	RuneScape Skilling Items (mrajbones)	mrajbones	3736	Attribution Required (CC by)	27	6	0	0	3903	4169		3930
oceandusk	Ocean Dusk	SullenSecret	3735	Attribution+NonCommercial (CC by-nc)	17	15	2	1	185635	185642	185645	185636
capybara	Capybara	Cursor Creactor	3732	Release to Public Domain	17	15	0	0	228330	228344	228335	
isaac	Isaac	Rifdos	3731	Free Art (copyleft)	15	15	8	1	98103	98106	129938	98107
redamongusmd	Among Us Red	ツ☪ NaLexnu ♡♥	3729	Attribution+NonCommercial (CC by-nc)	19	17	3	1	169538	169535	169541	169529
charizard-charmander-pokemon-red	The Charizard Collection!	Folfie	3727	Release to Public Domain	15	1	10	1	66957			
rainbow-six-siege-black-ice-r6	Rainbow Six Siege Black Ice R6	FelpsNTC	3727	Free Art (copyleft)	11	11	2	1	135499	135509	135504	135502
dr-who	Daleks Rule!	8-Bit	3725	Attribution Required (CC by)	14	14	5	1	1043	1053	1049	1047
hands-1	HANDS	juanello	3725	Release to Public Domain	3	3	1	0	27836	27837		27838
white-and-purple	White n Purple	Mabzev	3721	Release to Public Domain	14	14	2	1	120969	120984	120975	120972
little-cactus	Little Cactus	SnowflakePixie	3713	Attribution+NonCommercial (CC by-nc)	15	15	3	1	86385	86383	86392	86380
brick-red-renewed	Brick Red Renewed	SalmonSoup15	3708	Release to Public Domain	5	5	2	1	143951	143949		143948
paper-skies	Paper Sky X3	ClairvoyantOS	3707	Custom (contact author)	14	13	2	1	150955	150961	151031	150959
terra-blade-ethanweegee	Terraria Terra Blade	ETHANWEEGEE	3706	Release to Public Domain	14	14	5	0	79358	79356	79359	79350
roblox-dominus	Roblox Dominus	Kimi	3705	Release to Public Domain	12	1	0	1	154404			
amber	Amber	LisSweetie	3704	Attribution Required (CC by)	50	15	21	1	164104	164153	164119	164111
dangan-ronpa	Danganronpa Cursors	Rifdos	3703	Free Art (copyleft)	21	15	21	1	96232	96233	96225	96237
minecraft-grass-block-and-more	Minecraft Grass block and more	Emiuy2121	3702	Release to Public Domain	14	9	2	1	229005		229107	229006
timeline-small-black-ani	Timeline Small Black Ani	LightCM	3702	Attribution+NonCommercial (CC by-nc)	18	17	12	1	179371	179368	179375	179361
blue-neon-laser-themecursors	Blue Neon Laser Glow Simple Stylish	lifeisillusion	3697	Custom (contact author)	16	16	2	0	139802	139799	139804	139793
crystal-by-angel	Crystal	angelsixteen	3696	Release to Public Domain	14	13	1	0	15904	15910	15917	15915
gt	GT	VAGELIS	3696	NonCommercial Usage Only (CC nc)	17	17	15	1	149586	149598	149588	149590
lazarbeam-the-youtuber	Lazarbeam Face	LightningBoy2527	3695	Release to Public Domain	4	1	0	1	128495		128495	
new-mario-64-punter	Mario 64 Complete Edition	000	3693	Release to Public Domain	17	17	13	1	160354	160368	160359	160357
blue-turquoise-mini	Aero Pantone 2005 Blue Turquoise Mini	4qts	3692	Release to Public Domain	17	17	2	1	134539	134543	134552	134540
llx-red-yellow	LLX Red_Yellow	RIDDLER	3692	Custom (contact author)	20	17	4	1	108920	108934	108925	108923
minecraft-8	Minecraft	ETHANWEEGEE	3692	Release to Public Domain	5	4	1	0	77442	77445		77446
artifacts-198w	ARTIFACTS 198W	highmystica	3689	Release to Public Domain	32	15	16	0	99490	99504	99495	99493
piano-music	Piano Music	Dude#777	3686	Attribution Required (CC by)	3	1	1	0	1539			
realm-of-the-mad-god-colorful-co	Realm of the Mad God (RotMG) Selection	Nyororo	3680	Release to Public Domain	7	1	1	0	65788			
aystics-poison	Aystics - Poison	AJaxx	3677	Custom (contact author)	23	15	11	1	94268	92338	94271	92331
vaporwave-hotline-white-plus	Vaporwave Hotline White Plus	3am	3675	Release to Public Domain	18	17	2	1	193570	193589	193579	193660
sword-rpg	Sword RPG (update)	monkewt7244	3672	Release to Public Domain	7	0	0	0	150349			
timeline-black-red	Timeline Black&Red	LightCM	3669	Release to Public Domain	17	17	6	0	158380	158595	158621	158371
randompointers	Random Pointers	Dude#777	3668	Attribution Required (CC by)	8	1	6	0	1737	1737		
gold-spin-cursor-set-by-jddellgu	Gold Spin	JDDellGuy	3666	Release to Public Domain	15	15	15	1	27046	27068	27044	27050
rainbow-animated-variations	Rainbow Animated Variation	winger	3666	Release to Public Domain	6	1	6	0	15748			
multi-outline	Multi Outline	꧁ Ryjerun ꧂	3662	Release to Public Domain	10	1	0	0	160971			
fire-two	FIRE RED	bouderbabari	3651	Release to Public Domain	15	15	15	1	20961	20975	20966	20964
shugo-chara-egg-characters	Shugo Chara Egg Characters	Bubblez	3649	Release to Public Domain	10	0	0	1	34036			
venom	Venom ⚫	AJaxx	3648	Custom (contact author)	20	15	19	0	107118	107125	107131	107117
kawaii-potato	Kawaii Potato	OwlCityLover!!!	3644	Custom (contact author)	11	1	1	0	75948			
rainbow-deluxe	Rainbow Deluxe	RIDDLER	3644	Custom (contact author)	19	17	19	1	154160	154175	154166	154164
red-se7en-cursors	Red Se7en Cursors	JDDellGuy	3643	Release to Public Domain	5	5	4	0	19779	19778		19776
murder-drones-absolute-solver-	Murder Drones absolute solver bundle (PURPLE)	Little_mushy	3642	Release to Public Domain	7	7	2	1	212059		212063	212062
play-station	PlayStation Crosshair	siabob007	3641	Custom (contact author)	20	15	20	1	97483	97490	97494	97485
purplestarcurmimidestino	Purple Star	ツ☪ NaLexnu ♡♥	3641	Release to Public Domain	16	15	4	1	94560	94558	94562	94551
three-types-of-roblox	Three Types of Roblox	Violet	3641	Release to Public Domain	3	0	0	1	145960			
fun-n-random	Fun and Random	emulatorguy23	3640	Custom (contact author)	14	1	7	1	134771			
oxidglas	OxidGlas ⚫	AJaxx	3639	Custom (contact author)	25	15	21	1	89167	89174	89182	89165
red-shadow	Red Shadow	`SкιєŦн	3635	Release to Public Domain	15	15	10	0	23764	23766	23769	23760
kassadin	Kassadin	Dracobomba	3632	Release to Public Domain	12	12	2	0	45223	45234	45227	45226
smw	Super Mario World	nibbler	3631	Attribution+NonCommercial (CC by-nc)	58	15	48	0	95934	95953	95944	95940
faereevee	Sylveon - Pokemon	cinnamamonroll	3629	Free Art (copyleft)	10	10	10	0	174756	174765	174759	
wolf-paw	~	N/A	3627	Release to Public Domain	15	15	8	1	148581	148579	148583	148573
purple-hearth	Purple Hearth	ツ☪ NaLexnu ♡♥	3626	Attribution+NonCommercial (CC by-nc)	18	17	15	1	51617	93520	93513	51618
steve-minecraft-demo	Steve (Minecraft) demo	ʎppnᙠ ǝsuǝsuoN	3626	Custom (contact author)	6	6	5	1	189969			189970
red-glow-1	Red Glow	Wutu	3625	Release to Public Domain	16	15	16	1	58373	58377	58384	58389
blech-caracters	bleach caracters	assname	3622	Release to Public Domain	13	0	2	1	44614			
kookoo	Kookoo	happyscribble	3618	Release to Public Domain	16	16	8	1	239432	239430	239436	239425
fortnite-pack	Fortnite (Pack) (Con Animación)(Actualizado)	ImNotObed	3616	Release to Public Domain	19	10	8	1	138178	138177	138180	138181
trans-flag-themed-pack	Trans Flag Themed	Paradise Murderer	3616	Release to Public Domain	19	15	2	0	137728	137759	137741	137731
pikachu-2	pikachu	neil	3615	Release to Public Domain	16	15	16	0	144424	144410	144421	144419
highlight-green-10	Highlight Green 10	RIDDLER	3614	Custom (contact author)	17	17	2	0	158169	158183	158174	158172
flame-pokemon	Mini Charizard	ctarmansy	3612	Release to Public Domain	8	7	6	0	63052	63053	63056	63055
uldonutskawaiimdyellow6	Cute Kawaii Yellow Donuts	ツ☪ NaLexnu ♡♥	3612	Attribution+NonCommercial (CC by-nc)	26	17	10	1	163827	163824	163830	163814
dozer	Dozer	happyscribble	3611	Release to Public Domain	15	15	15	1	239492	239489	239495	239484
aero-moderno	Aero moderno	Cat_gamer	3610	Release to Public Domain	15	15	3	1	159537	159551	159542	159540
star-trek-aero	Star Trek Aero	Adam	3609	Release to Public Domain	6	1	5	0	16584	16584		
temmie-undertale	Temmie - Undertale	Ultima	3608	Release to Public Domain	15	15	15	1	85109	85107	85111	85101
bullet-point-blue	Bullet Point Blue	LightCM	3603	Release to Public Domain	15	15	3	1	140818	140815	140820	140809
